Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.2,14,9,1011.8,83,-,6.8,26.5,31.3,-,o, , , 
2,10.7,12,10,1020,91,-,2.6,9.1,21.9,-,o, ,o, 
3,11.8,16,8,1023.8,70,-,9.5,5.6,18.3,-,o, , , 
4,,,,,,,,,,,o, , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,10.4,15,5,1021.8,77,0,9.2,3,14.8,-, , , , 
8,11.2,15,9,1022.1,78,0,7.6,3,14.8,-, , , , 
9,10.4,12,8,1023.5,87,-,7.2,3.7,18.3,-,o, , , 
10,,,,,,,,,,,o, , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,10.6,11,8,1024.3,73,-,9.3,0,-,-,o, , , 
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,14.5,19,10,1006.6,73,-,8,13.5,21.9,-,o, , , 
18,14.6,18,9,1010.4,57,-,12.1,10.9,27.8,-,o, , , 
19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,,,,,,,,,,, , , , 
22,,,,,,,,,,,o, ,o, 
23,,,,,,,,,,,o, ,o, 
24,12.2,14,10,1022,69,-,5,15,18.3,-,o, , , 
25,10.8,12,9,1021.9,72,-,5,6.1,9.1,-,o, , , 
26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,12,17,7,1022.7,71,0,9.5,9.6,14.8,-, , , , 
28,,,,,,,,,,, , , , 
29,,,,,,,,,,,o, , , 
30,,,,,,,,,,, , , , 
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,8.4,11,7,1011.7,81,-,6.6,19.4,42.4,-,o, , , 
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,8.2,9,7,1018.1,90,-,6,16.1,24.1,-,o, ,o, 
4,9.8,12,7,1021.3,84,-,6.6,18.7,21.9,-,o, , , 
5,,,,,,,,,,,o, , , 
6,,,,,,,,,,, , , , 
7,,,,,,,,,,, , , , 
8,14.6,22,7,1020.8,53,0,17.1,20.4,29.4,-, , , , 
9,14.6,21,9,1017,58,0,15,20.2,33.2,-, , , , 
10,13.3,16,12,1015.4,86,-,10.5,9.6,16.5,-,o, , , 
11,,,,,,,,,,,o, , , 
12,,,,,,,,,,, , , , 
13,,,,,,,,,,, , , , 
14,9,13,8,999.6,80,-,6.8,12.4,24.1,-,o, , , 
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,8.6,13,4,1004.2,62,0,10.8,23.5,34.8,-, , , , 
17,7.8,12,5,1015.1,78,-,7.2,19.4,31.3,-,o, , , 
18,,,,,,,,,,,o, , , 
19,,,,,,,,,,,o, ,o, 
20,,,,,,,,,,,o, ,o, 
21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,12,17,7,1023.4,60,0,8,19.1,21.9,-, , , , 
23,9.8,12,8,1024.4,89,-,5.8,8.7,16.5,-,o, , , 
24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,15.4,18,12,1014.3,56,0,10,25.4,40.7,-, , , , 
26,,,,,,,,,,,o, , , 
27,,,,,,,,,,,o, , , 
28,,,,,,,,,,, , ,o, 
1,9.3,13,4,1032.8,66,-,7.6,10.9,18.3,-,o, , , 
2,12,17,4,1027.3,55,0,9.7,15.6,24.1,-, , , , 
3,10.8,13,5,1028.1,70,0,5.5,13.5,21.9,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,11.6,15,7,1024.6,80,0,6.4,15.7,20.2,-, , , , 
8,11,15,4,1023,67,0,7.6,11.3,14.8,-, , , , 
9,10.8,13,9,1020.4,73,0,8,4.6,7.2,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,,o, , , 
12,,,,,,,,,,,o, , , 
13,10.8,16,5,1013.1,69,-,8,24.6,33.2,-,o, , , 
14,8.8,12,6,1012.3,81,-,6,10.2,18.3,-,o, ,o, 
15,9.4,13,3,1017.5,63,0,7.6,14.3,20.2,-, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,,o, , , 
18,,,,,,,,,,, , , , 
19,10.8,15,4,1020.4,69,0,10,14.8,24.1,-, , , , 
20,11,15,4,1017.6,75,0,8.4,10.2,21.9,-, , , , 
21,12.8,16,7,1014.2,81,0,5.8,8.3,16.5,-, , , , 
22,,,,,,,,,,,o, , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,,o, , , 
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,10.3,13,8,1018.5,80,-,7.6,8.5,10.7,-,o, , , 
27,11.6,13,7,1015.6,70,-,6.8,20.2,25.9,-,o, , , 
28,13,16,9,1012.7,60,0,17.1,6.1,20.2,-, , , , 
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,,,,,,,,,,, , , , 
31,,,,,,,,,,, , , ,o
1,13.2,16,8,1022.4,63,0,6,7.6,16.5,-, , , , 
2,13.3,17,7,1022.7,63,0,5.8,12.6,25.9,-, , , , 
3,14.2,19,8,1019.9,61,0,6.4,22.8,29.4,-, , , , 
4,,,,,,,,,,,o, , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,20.8,29,10,1014.3,44,0,24.9,18,33.2,-, , , , 
8,17.8,21,9,1005.5,56,0,19,9.1,13,-, , , , 
9,19.2,26,15,1003.9,54,0,9.2,13.9,21.9,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,12.8,17,5,1019,65,0,20,17.4,24.1,-, , , , 
14,14.4,16,9,1019.2,60,0,6,21.9,21.9,-, , , , 
15,12.4,15,10,1020.5,72,0,7.2,10.9,20.2,-, , , , 
16,,,,,,,,,,, , , , 
17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,,,,,,,,,,,o, , , 
19,,,,,,,,,,, , , , 
20,15.4,19,9,1010.3,66,0,6,9.4,18.3,-, , , , 
21,15.3,18,8,1013,69,0,-,15.2,16.5,-, , , , 
22,16.3,18,12,1006,73,0,9.5,12.4,16.5,-, , , , 
23,,,,,,,,,,,o, , , 
24,,,,,,,,,,, , , , 
25,,,,,,,,,,, , , , 
26,16,20,9,1017.6,74,0,10,15,27.8,-, , , , 
